processos,tempo_segundos,speedup,eficiencia,pi_estimado
1,0.4133,1.0,1.0,3.1431200000
2,0.2973,1.3901782711066262,0.6950891355533131,3.1417680000
4,0.1831,2.257236482796286,0.5643091206990715,3.1431960000
8,0.0931,4.439312567132116,0.5549140708915145,3.1406120000
